"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26388","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-01-14","passed","2026-01-14","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","34738","Quotation → Sales Order","chromium","2026-01-14","passed","2026-01-14","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","959","Create new Customer","chromium","2026-01-14","passed","2026-01-14","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","695","Create new Item","chromium","2026-01-14","passed","2026-01-14","Create item @item @api","specs/api/item.spec.ts","",""
"","7599","Log in as new random User via LogInUtils","chromium","2026-01-14","passed","2026-01-14","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2089","Check company presence and run set up if there is no company","chromium","2026-01-14","passed","2026-01-14","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","699","Create new Supplier","chromium","2026-01-14","passed","2026-01-14","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","3117","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-14","passed","2026-01-14","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1547","A new User with role Accounts","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2198","A new User with role Sales","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1424","A new User with role Manufacturing","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1188","A new User with role Inventory","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1750","A new User with role Purchase","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","231","Set supplier for Item","chromium","2026-01-14","passed","2026-01-14","Create item @item @api","specs/api/item.spec.ts","",""
"","4624","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-14","passed","2026-01-14","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","29072","Procurement","chromium","2026-01-14","passed","2026-01-14","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
